ResponseId_B,ResponseId_A,Discipline,Q1_B_UIUC_data_used,Q2_B_how_provided,Q2_B_specify_online_database,Q2_B_other_specify,Q3_B_why_opt_not_use,Q3_B_other_specify,Q4_B_why_cited,Q4_B_other_specify
R_3J7V4gWKKb1FD6K,R_3KuNr4N6Kg1WsbU,CHEM,No,,,,"Other, please specify:",The paper in [redacted] is done by ourselves and not collaborate with [redacted]. So it is impossible to use data of others for publishing a paper. ,The paper cited provided general background for our work,
R_339EPGuDGbSYpMj,R_3n0K0IRFWgg3NV3,ENVI,No,,,,"Other, please specify:",The paper is cited to emphasize the trend in [redacted],"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_2DXE17lzeRgfesl,R_BJuFTlG55oyflM5,COMP,No,,,,"Other, please specify:",The paper was a methods paper,"Other, please specify:",We used the method in the paper
R_3FX7NyxSphd0Ld2,R_33mc4kWMIzbMo4n,BIOC,No,,,,"Data did not address our specific research question,There was no data in the paper,Other, please specify:",The paper was a review paper.,The paper cited provided general background for our work,
R_2QR3mLBm5ah4Dlh,R_3PcaJ65Qc58kPgx,CHEM,No,,,,"Data did not address our specific research question,Other, please specify:","The paper was cited as important background, but there was no need to include in this paper.",The paper cited provided general background for our work,
R_27H9tjfa00MSF3C,R_XRqE7nJDdBdx5mh,BIOC,No,,,,"Other, please specify:",The paper was referenced only as a background material. The detailed data were not relevant to our study.,The paper cited provided general background for our work,
R_1dgY2lbNFzoWFCl,R_3fN94PgHTZvmT8n,MEDI,No,,,,"There was no data in the paper,Other, please specify:",The paper we cited was a review paper and did not contain original data,The paper cited provided general background for our work,
R_We7HspehLTFS5JD,R_1LS7V2v7hGi6Frl,MATE,No,,,,"Other, please specify:","The reviewer insisted we should cite this paper. However, we have not used any data from it. ","Other, please specify:",The reviewer considered the paper should be cited.
R_32X7sjYRiQ6oUGI,R_24MEuk7xpLeHgPo,PHYS,No,,,,"Data did not address our specific research question,Other, please specify:",The said [redacted] paper is a review article from theoretical point of view and there are no experimental data to be used.,The paper cited provided general background for our work,
R_2qxY0zblTyZPizI,R_3GkulVLiyP5j3J1,MEDI,No,,,,"Data did not address our specific research question,Other, please specify:","The topic was similar to the topic, but the complexes were different enough that there as no need to reproduce any of the data","The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
